artist,category,color_1,color_2,color_3,color_4,color_5,color_6,color_7,hex_1,hex_2,hex_3,hex_4,hex_5,hex_6,hex_7,hex_color_1,hex_color_2,hex_color_3,hex_color_4,hex_color_5,hex_color_6,hex_color_7,id_number,image,plane,tags_list,title
Mae Mu,photography,oklch(53.89% 0.2176 25.37),oklch(76.31% 0.1696 112.83),oklch(89.22% 0.0549 178.97),,,,,#cf0320,#b4bc02,#b5e8dc,,,,,#cf0320,#b4bc02,#b5e8dc,,,,,22,https://thekymchee.github.io/found_color_schemes/00_images/mae-mu-vbAEHCrvXZ0-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-mae-mu-vbAEHCrvXZ0-unsplash.svg,blue green; brown; yellow green,Fresh Cherries
Arthur Alexanenko,photography,oklch(34.82% 0.0526 133.25),oklch(74.06% 0.1695 59.15),oklch(37.62% 0.0344 35.12),,,,,#2f4023,#f78c18,#523b35,,,,,#2f4023,#f78c18,#523b35,,,,,23,https://thekymchee.github.io/found_color_schemes/00_images/the-nigmatic-pAGWDcyK9As-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-the-nigmatic-pAGWDcyK9As-unsplash.svg,orange; gray; green,The Falcon
Jeremy Bishop,photography,oklch(76.93% 0.1471 49.05),oklch(47.05% 0.0679 77.87),oklch(26.15% 0.0117 84.58),,,,,#fe9559,#70562c,#27241e,,,,,#fe9559,#70562c,#27241e,,,,,24,https://thekymchee.github.io/found_color_schemes/00_images/jeremy-bishop-x2Miv4owGEM-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-jeremy-bishop-x2Miv4owGEM-unsplash.svg,orange yellow; gray; red orange,Mammoth Lakes
Angelina and Antonis,photography,oklch(96.37% 0.0136 92.98),oklch(83.6% 0.0395 79.99),oklch(62.92% 0.0389 68.39),oklch(47.81% 0.0362 63.61),oklch(21.65% 0.0078 182.18),,,#f6f3e9,#d7c7ad,#998570,#6c5948,#161b1a,,,#f6f3e9,#d7c7ad,#998570,#6c5948,#161b1a,,,25,https://thekymchee.github.io/found_color_schemes/00_images/angelina-and-antonis-2On4JHRi46M-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-angelina-and-antonis-2On4JHRi46M-unsplash.svg,gray; white,Tan Lady
Angelina and Antonis,photography,oklch(78.88% 0.0098 242.87),oklch(63.65% 0.0275 237.1),oklch(56.69% 0.0518 62.25),oklch(38.01% 0.0692 47.47),oklch(23.82% 0.0356 53.87),,,#b5bbc0,#7c8e9a,#8d7057,#603620,#2c1a0e,,,#b5bbc0,#7c8e9a,#8d7057,#603620,#2c1a0e,,,26,https://thekymchee.github.io/found_color_schemes/00_images/angelina-and-antonis-DGMKI9_pMMk-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-angelina-and-antonis-DGMKI9_pMMk-unsplash.svg,brown; gray; yellow orange,Desert Artifact
Behnam Norouzi,photography,oklch(74.8% 0.0261 61.52),oklch(63.32% 0.0534 65.61),oklch(52.28% 0.0548 68.16),oklch(40.03% 0.0656 168.15),oklch(30.39% 0.0194 132.86),,,#baaa9d,#a18468,#7f6447,#1c5341,#2b3127,,,#baaa9d,#a18468,#7f6447,#1c5341,#2b3127,,,27,https://thekymchee.github.io/found_color_schemes/00_images/behnam-norouzi-g2fvtB8qNlg-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-behnam-norouzi-g2fvtB8qNlg-unsplash.svg,blue green; gray; yellow orange,Green Garage
Community Archives of Belleville and Hastings County,photography,oklch(82.07% 0.019 150.5),oklch(71.86% 0.0136 190.83),oklch(90.4% 0.0386 85.34),oklch(77.99% 0.0877 83.95),oklch(62.71% 0.0962 73.84),oklch(48.01% 0.0647 51.59),oklch(30.17% 0.0713 29.43),#bcc8be,#9ba7a6,#ebdec3,#d2b375,#ab7f41,#7b533b,#4c1e18,#bcc8be,#9ba7a6,#ebdec3,#d2b375,#ab7f41,#7b533b,#4c1e18,28,https://thekymchee.github.io/found_color_schemes/00_images/community-archives-of-belleville-and-hastings-county-84KcH3jcql0-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-community-archives-of-belleville-and-hastings-county-84KcH3jcql0-unsplash.svg,gray; yellow; orange yellow; orange; brown; white,Bank of Montreal
Fadhil Abhimantra,photography,oklch(86.46% 0.0743 80.66),oklch(72.4% 0.1063 70.73),oklch(49.96% 0.0975 62.27),oklch(30.77% 0.0541 62.23),oklch(16.64% 0.0185 103.09),,,#ecce9b,#d09a57,#8a551f,#432910,#100f06,,,#ecce9b,#d09a57,#8a551f,#432910,#100f06,,,29,https://thekymchee.github.io/found_color_schemes/00_images/fadhil-abhimantra-x_Df3Gb-4Ug-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-fadhil-abhimantra-x_Df3Gb-4Ug-unsplash.svg,yellow orange; black,The Falconer
Gustavo Zambelli,photography,oklch(72.05% 0.0115 158.74),oklch(56.47% 0.0259 189.68),oklch(76.94% 0.0792 68.1),oklch(52.34% 0.0602 65.87),oklch(30.03% 0.0347 88.47),,,#9fa7a2,#657b79,#d6ab7d,#826344,#352d19,,,#9fa7a2,#657b79,#d6ab7d,#826344,#352d19,,,30,https://thekymchee.github.io/found_color_schemes/00_images/gustavo-zambelli-6tsNf9_0t3E-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-gustavo-zambelli-6tsNf9_0t3E-unsplash.svg,gray; yellow orange,The Lonely Tree
Joseph Corl,photography,oklch(76.33% 0.0825 72.16),oklch(88.31% 0.084 79.91),oklch(57.68% 0.0612 242.68),oklch(44.67% 0.0703 245.78),oklch(22.57% 0.0497 249.84),,,#d3aa77,#f6d399,#597e9b,#315879,#071d32,,,#d3aa77,#f6d399,#597e9b,#315879,#071d32,,,31,https://thekymchee.github.io/found_color_schemes/00_images/joseph-corl-iFg78nqsMho-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-joseph-corl-iFg78nqsMho-unsplash.svg,orange yellow; gray; blue,The Sand Blues
Karsten Winegeart,photography,oklch(45.2% 0.0231 275.88),oklch(57.33% 0.0303 241.52),oklch(70.93% 0.0048 214.33),oklch(89.77% 0.0172 61.94),oklch(60.5% 0.0575 124.51),oklch(42.72% 0.0517 123.99),,#525563,#697b89,#9ea2a3,#e6dbd2,#7a8862,#495434,,#525563,#697b89,#9ea2a3,#e6dbd2,#7a8862,#495434,,32,https://thekymchee.github.io/found_color_schemes/00_images/karsten-winegeart-9DyNN_Yz2yk-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-karsten-winegeart-9DyNN_Yz2yk-unsplash.svg,gray; yellow green,Black Sand Mountains
Karsten Winegeart,photography,oklch(15.13% 0.0093 239.78),oklch(33.15% 0.0082 255.55),oklch(47.56% 0.1085 118.32),oklch(61.51% 0.1075 112.33),oklch(76.1% 0.0833 102.72),,,#080c0f,#33363a,#576406,#868b37,#bbb475,,,#080c0f,#33363a,#576406,#868b37,#bbb475,,,33,https://thekymchee.github.io/found_color_schemes/00_images/karsten-winegeart-613pTZEFf2U-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-karsten-winegeart-613pTZEFf2U-unsplash.svg,gray; black; green yellow; yellow green,Waterfall Cave
Luke Thornton,photography,oklch(27.36% 0.0852 38.24),oklch(44.32% 0.1061 54.02),oklch(72.32% 0.1145 71.73),oklch(64.36% 0.0231 189.25),oklch(38.84% 0.0267 222.53),,,#481302,#7f4009,#d2994e,#7e9290,#35484f,,,#481302,#7f4009,#d2994e,#7e9290,#35484f,,,34,https://thekymchee.github.io/found_color_schemes/00_images/luke-thornton-i2TQquW_ctQ-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-luke-thornton-i2TQquW_ctQ-unsplash.svg,orange yellow; orange; gray; brown,Observatory Sunrise
Martin Masson,photography,oklch(29.44% 0.009 116.14),oklch(59.74% 0.0311 243.41),oklch(80.07% 0.0226 230.63),oklch(91.54% 0.0085 236.57),oklch(82.17% 0.0743 60.46),,,#2c2d28,#708291,#b0c1ca,#dee4e8,#e9ba94,,,#2c2d28,#708291,#b0c1ca,#dee4e8,#e9ba94,,,35,https://thekymchee.github.io/found_color_schemes/00_images/martin-masson-eGs_tNhEMvQ-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-martin-masson-eGs_tNhEMvQ-unsplash.svg,gray; white,Morning Mountains
Nir Himi,photography,oklch(34.6% 0.0332 73.81),oklch(44.71% 0.0731 85.06),oklch(55.05% 0.0682 71.14),oklch(75.01% 0.0724 61.44),oklch(88.86% 0.0133 71.32),oklch(68.81% 0.0129 79.77),,#443726,#67511f,#8b6b44,#d0a47f,#e0d9d1,#9f9a92,,#443726,#67511f,#8b6b44,#d0a47f,#e0d9d1,#9f9a92,,36,https://thekymchee.github.io/found_color_schemes/00_images/nir-himi-MP_O-eioKJc-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-nir-himi-MP_O-eioKJc-unsplash.svg,orange yellow; gray; yellow; yellow orange,Desert Bleakness
Shang Zhou,photography,oklch(25.42% 0.0461 130.26),oklch(53.46% 0.1134 127.84),oklch(68.11% 0.1366 111.47),oklch(77.27% 0.0879 76.79),oklch(91.58% 0.0143 74.42),,,#1b270e,#5a7929,#9ca028,#d5ae74,#e9e2d9,,,#1b270e,#5a7929,#9ca028,#d5ae74,#e9e2d9,,,37,https://thekymchee.github.io/found_color_schemes/00_images/shang-zhou-_d9gOMIhI1o-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-shang-zhou-_d9gOMIhI1o-unsplash.svg,orange yellow; gray; white; yellow green,Cream Roses Green
verse.press,websites,oklch(42.84% 0.0221 227.8),oklch(68.28% 0.068 87.48),oklch(93.67% 0.0055 95.1),oklch(96.68% 0.0054 95.1),,,,#435259,#ab9768,#ebeae6,#f5f4f0,,,,#435259,#ab9768,#ebeae6,#f5f4f0,,,,38,https://thekymchee.github.io/found_color_schemes/00_images/verse-press-screenshot.png,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-verse-press-screenshot.svg,gray; yellow; white,Verse
figgjo.com,websites,oklch(39.77% 0.0613 30.19),oklch(36% 0.0433 241.85),oklch(94.91% 0 102.07),oklch(27.27% 0 102.07),,,,#643a33,#284052,#eeeeee,#272727,,,,#643a33,#284052,#eeeeee,#272727,,,,39,https://thekymchee.github.io/found_color_schemes/00_images/figgjo-screengrab.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-figgjo-screengrab.svg,gray; brown; white,Figgjo
