artist,category,color_1,color_2,color_3,color_4,color_5,color_6,color_7,hex_1,hex_2,hex_3,hex_4,hex_5,hex_6,hex_7,hex_color_1,hex_color_2,hex_color_3,hex_color_4,hex_color_5,hex_color_6,hex_color_7,id_number,image,plane,tags_list,title
Joseph Zbukvic,paintings,oklch(41.48% 0.119 28.05),oklch(37.28% 0.0384 31.14),oklch(49.09% 0.0594 30.94),oklch(63.13% 0.0785 51.63),oklch(86.77% 0.0041 286.31),oklch(68.59% 0.0277 285.65),,#802b24,#533934,#7f544c,#b07c5d,#d3d3d6,#9898ab,,#802b24,#533934,#7f544c,#b07c5d,#d3d3d6,#9898ab,,693846,https://thekymchee.github.io/found_color_schemes/00_images/zbukvic-piazza_de_populi.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-zbukvic-piazza_de_populi.svg,orange; gray; brown,Piazza de Populi
Joseph Zbukvic,paintings,oklch(43.54% 0.0361 174.87),oklch(44.6% 0.0328 109.92),oklch(56.9% 0.0373 114.98),oklch(87.09% 0.0035 145.55),oklch(48.3% 0.0867 248.12),,,#3c5850,#555641,#767a61,#d3d5d3,#33628d,,,#3c5850,#555641,#767a61,#d3d5d3,#33628d,,,654975,https://thekymchee.github.io/found_color_schemes/00_images/zbukvic-safe_harbour.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-zbukvic-safe_harbour.svg,gray; blue,Safe Harbour
Joseph Zbukvic,paintings,oklch(73.97% 0.104 72.56),oklch(31.54% 0.0038 128.59),oklch(41.03% 0.0391 275.01),oklch(63.61% 0.0382 244.49),oklch(83.87% 0.0046 179.71),oklch(61.18% 0.1099 107.38),,#d3a05d,#313230,#444960,#788ea1,#c7cbca,#8b882f,,#d3a05d,#313230,#444960,#788ea1,#c7cbca,#8b882f,,953839,https://thekymchee.github.io/found_color_schemes/00_images/zbukvic-spring_healsvile.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-zbukvic-spring_healsvile.svg,orange yellow; gray; green yellow,Spring Healsvile
Joseph Zbukvic,paintings,oklch(74.26% 0.0343 285.53),oklch(50.06% 0.0543 58.86),oklch(63.14% 0.1162 68.48),oklch(75.11% 0.1155 94.25),oklch(64.03% 0.107 105.9),,,#a9a9c1,#7b5c44,#b77b30,#c6ad51,#95903b,,,#a9a9c1,#7b5c44,#b77b30,#c6ad51,#95903b,,,265512,https://thekymchee.github.io/found_color_schemes/00_images/zbukvic-spring_pasture.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-zbukvic-spring_pasture.svg,orange; gray; green yellow; yellow orange,Spring Pasture
Joseph Zbukvic,paintings,oklch(49.9% 0.0808 81.8),oklch(62.43% 0.0931 87.85),oklch(75.33% 0.084 84.34),oklch(46.09% 0.0638 155.74),oklch(67.68% 0.0358 260.99),,,#7a5e27,#9f8440,#c8ab70,#396349,#8b98ae,,,#7a5e27,#9f8440,#c8ab70,#396349,#8b98ae,,,209606,https://thekymchee.github.io/found_color_schemes/00_images/zbukvic-sunday_on_the_yarra.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-zbukvic-sunday_on_the_yarra.svg,blue green; gray; yellow,Sunday on the Yarra
Joseph Zbukvic,paintings,oklch(89.98% 0.0011 197.14),oklch(80.82% 0.0862 78.31),oklch(66.73% 0.0876 228.33),oklch(41.87% 0.1366 265.04),oklch(25.18% 0.035 271.8),,,#dddede,#dfba80,#559fbf,#274696,#1c2133,,,#dddede,#dfba80,#559fbf,#274696,#1c2133,,,582653,https://thekymchee.github.io/found_color_schemes/00_images/zbukvic-the_approaching_storm.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-zbukvic-the_approaching_storm.svg,orange yellow; gray; blue,The Approaching Storm
Joseph Zbukvic,paintings,oklch(62.45% 0.0618 183.16),oklch(73.73% 0.0255 154.96),oklch(45.03% 0.0891 46.48),oklch(75.54% 0.1185 70.68),oklch(87.86% 0.0318 92.97),oklch(75.83% 0.0123 37.41),,#5b948b,#9eafa3,#7d4427,#dfa255,#ded7c0,#b8aeab,,#5b948b,#9eafa3,#7d4427,#dfa255,#ded7c0,#b8aeab,,795753,https://thekymchee.github.io/found_color_schemes/00_images/zbukvic-the_lagoon.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-zbukvic-the_lagoon.svg,gray; green blue; brown,The Lagoon
Joseph Zbukvic,paintings,oklch(22.23% 0.006 271.14),oklch(38.34% 0.0525 329.17),oklch(49.28% 0.0404 244.81),oklch(90% 0.0027 106.45),oklch(66.74% 0.0642 42.99),,,#1a1b1e,#533951,#4e6477,#dededc,#b78875,,,#1a1b1e,#533951,#4e6477,#dededc,#b78875,,,480537,https://thekymchee.github.io/found_color_schemes/00_images/zbukvic-the_promenade.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-zbukvic-the_promenade.svg,gray; red orange; red violet,The Promenade
Joseph Zbukvic,paintings,oklch(61.66% 0.1296 62.6),oklch(74.52% 0.0628 100.46),oklch(36.31% 0.0196 127.32),oklch(63.13% 0.038 248.43),oklch(83.69% 0.0036 219.54),,,#bb711f,#b5ae80,#3b4035,#788ca0,#c7cacb,,,#bb711f,#b5ae80,#3b4035,#788ca0,#c7cacb,,,868070,https://thekymchee.github.io/found_color_schemes/00_images/zbukvic-the_saw_mill_in_buccan.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-zbukvic-the_saw_mill_in_buccan.svg,gray; yellow orange; green yellow,The Saw Mill in Buccan
Edgar Payne,paintings,oklch(45.55% 0.0389 96.23),oklch(25.33% 0.0479 32.79),oklch(42.11% 0.0994 35.2),oklch(59.7% 0.0739 43.78),oklch(77.03% 0.1155 55.14),oklch(69.03% 0.0795 225.6),,#5d573e,#361913,#7a3625,#a5715b,#eda06a,#62a6c1,,#5d573e,#361913,#7a3625,#a5715b,#eda06a,#62a6c1,,452993,https://thekymchee.github.io/found_color_schemes/00_images/payne-2021481-1.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-payne-2021481-1.svg,orange; gray; brown; blue,Canyon Saddle
